match_id,stage_id,stage_name,date,kickoff_time_utc,venue_id,home_team_id,away_team_id,home_source_match_id,away_source_match_id,home_source_type,away_source_type,status,notes
89,3,Round of 16,2026-07-04,,,5,14,,,fixed,fixed,Scheduled,Canada vs Paraguay already exists in matches.csv
90,3,Round of 16,2026-07-05,,,,,74,83,winner,winner,Scheduled,Winner match 74 vs Winner match 83
91,3,Round of 16,2026-07-05,,,,,76,84,winner,winner,Scheduled,Winner match 76 vs Winner match 84
92,3,Round of 16,2026-07-06,,,,,77,85,winner,winner,Scheduled,Winner match 77 vs Winner match 85
93,3,Round of 16,2026-07-06,,,,,78,86,winner,winner,Scheduled,Winner match 78 vs Winner match 86
94,3,Round of 16,2026-07-07,,,,,79,87,winner,winner,Scheduled,Winner match 79 vs Winner match 87
95,3,Round of 16,2026-07-07,,,,,80,88,winner,winner,Scheduled,Winner match 80 vs Winner match 88
96,3,Round of 16,2026-07-08,,,,,81,82,winner,winner,Scheduled,Winner match 81 vs Winner match 82
97,4,Quarter-finals,2026-07-09,,,,,89,90,winner,winner,Scheduled,Winner match 89 vs Winner match 90
98,4,Quarter-finals,2026-07-09,,,,,91,92,winner,winner,Scheduled,Winner match 91 vs Winner match 92
99,4,Quarter-finals,2026-07-10,,,,,93,94,winner,winner,Scheduled,Winner match 93 vs Winner match 94
100,4,Quarter-finals,2026-07-10,,,,,95,96,winner,winner,Scheduled,Winner match 95 vs Winner match 96
101,5,Semi-finals,2026-07-13,,,,,97,98,winner,winner,Scheduled,Winner match 97 vs Winner match 98
102,5,Semi-finals,2026-07-14,,,,,99,100,winner,winner,Scheduled,Winner match 99 vs Winner match 100
103,6,Third-place match,2026-07-18,,,,,101,102,loser,loser,Scheduled,Loser match 101 vs Loser match 102
104,7,Final,2026-07-19,,,,,101,102,winner,winner,Scheduled,Winner match 101 vs Winner match 102
